,Male WT,Male delPrLD,Female WT,Female delPrLD
Male WT,0.0,2.3032936297168038e-10,0.17261269142350386,0.25959162282515297
Male delPrLD,2.3032936297168038e-10,0.0,1.102513966223613e-08,1.9013069158506583e-11
Female WT,0.17261269142350386,1.102513966223613e-08,0.0,0.6140276390485326
Female delPrLD,0.25959162282515297,1.9013069158506583e-11,0.6140276390485326,0.0


,Male WT,Male delPrLD,Female WT,Female delPrLD
Male WT,0.0,-7.712271640228125,-1.388686658410322,-1.1414463900097993
Male delPrLD,-7.712271640228125,0.0,6.656841051702169,8.130114205771553
Female WT,-1.388686658410322,6.656841051702169,0.0,0.507644237809232
Female delPrLD,-1.1414463900097993,8.130114205771553,0.507644237809232,0.0
