,Male WT,Male delPrLD,Female WT,Female delPrLD
Male WT,0.0,8.57260275448563e-39,0.9292582507159867,4.186929401228608e-32
Male delPrLD,8.57260275448563e-39,0.0,6.566951478586618e-16,0.15622091265442195
Female WT,0.9292582507159867,6.566951478586618e-16,0.0,1.4394088725057473e-12
Female delPrLD,4.186929401228608e-32,0.15622091265442195,1.4394088725057473e-12,0.0
